store_name,category,new_open,rating,visited_review,blog_review,store_id,address,business_hours,phone_num,lat_lng
95LABKITCHEN,양식,없음,0.0,"1,072",128,1286161990,서울 송파구 위례광장로 290 중앙푸르지오2단지 2층 202호 95labkitchen,"화
정기휴무 (매주 화요일) /수
10:00 - 21:00
16:00 - 17:30 브레이크타임
15:00, 20:00 라스트오더 /목
10:00 - 21:00
16:00 - 17:30 브레이크타임
15:00, 20:00 라스트오더 /금
10:00 - 21:00
16:00 - 17:30 브레이크타임
15:00, 20:00 라스트오더 /토
10:00 - 21:00
16:00 - 17:00 브레이크타임
15:00, 20:00 라스트오더 /일
10:00 - 21:00
16:00 - 17:00 브레이크타임
15:00, 20:00 라스트오더 /월
10:00 - 21:00
16:00 - 17:30 브레이크타임
15:00, 20:00 라스트오더 /",0507-1412-1995,"{'x': 37.474597, 'y': 127.1432345}"
한스 케익 위례점,카페,없음,4.41,675,71,1415520022,서울 송파구 위례광장로 120 121호,"화
10:30 - 21:30 /수
10:30 - 21:30 /목
10:30 - 21:30 /금
10:00 - 22:00 /토
10:00 - 22:00 /일
10:00 - 20:00 /월
10:30 - 21:30 /",0507-1308-1212,"{'x': 37.4750397, 'y': 127.14116}"
잭슨피자 위례점,피자,없음,4.56,"1,250",312,1294410745,"경기 성남시 수정구 위례광장로 104 1층 1054호, 1055호","화
11:00 - 21:30
21:00 라스트오더 /수
11:00 - 21:30
21:00 라스트오더 /목
11:00 - 21:30
21:00 라스트오더 /금
11:00 - 21:30
21:00 라스트오더 /토
11:00 - 21:30
21:00 라스트오더 /일
11:00 - 21:30
21:00 라스트오더 /월
11:00 - 21:30
21:00 라스트오더 /",0507-1406-0719,"{'x': 37.4727099, 'y': 127.1415588}"
홀썸치킨 위례점,"치킨,닭강정",없음,4.28,801,162,1203400493,경기 성남시 수정구 위례광장로 300 위례중앙타워 134호,"화
15:00 - 23:30
22:50 라스트오더 /수
15:00 - 23:30
22:50 라스트오더 /목
15:00 - 23:30
22:50 라스트오더 /금
15:00 - 23:30
22:50 라스트오더 /토
12:00 - 23:30
22:50 라스트오더 /일
12:00 - 23:30
22:50 라스트오더 /월
15:00 - 23:30
22:50 라스트오더 /",031-754-5900,"{'x': 37.473447300000004, 'y': 127.1427856187999}"
초밥쇼쿠닌,"초밥,롤",없음,4.6,578,98,1295708100,경기 성남시 수정구 위례광장로 320 아이에스센트럴타워 216호,"화
11:30 - 21:30
15:00 - 17:00 브레이크타임
14:30, 21:00 라스트오더 /수
11:30 - 21:30
15:00 - 17:00 브레이크타임
14:30, 21:00 라스트오더 /목
11:30 - 21:30
15:00 - 17:00 브레이크타임
14:30, 21:00 라스트오더 /금
11:30 - 21:30
15:00 - 17:00 브레이크타임
14:30, 21:00 라스트오더 /토
11:30 - 21:30
15:00 - 17:00 브레이크타임
14:30, 21:00 라스트오더 /일
11:30 - 21:30
15:00 - 17:00 브레이크타임
14:30, 21:00 라스트오더 /월
정기휴무 (매주 월요일) /",0507-1301-8587,"{'x': 37.472476806814, 'y': 127.14333102782943}"
광장닭발치킨,닭발,없음,0.0,597,128,1724978490,경기 성남시 수정구 위례광장로 104 1036호,"화
16:30 - 24:00 /수
16:30 - 24:00 /목
16:30 - 24:00 /금
16:30 - 24:00 /토
16:30 - 24:00 /일
16:30 - 24:00 /월
16:30 - 24:00 /",0507-1372-8459,"{'x': 37.4727099, 'y': 127.1415588}"
누리골감자탕,감자탕,없음,4.45,390,36,1354186829,"서울 송파구 위례광장로 199 203호, 204호","화
10:00 - 22:00
15:00 - 17:00 브레이크타임 /수
10:00 - 22:00
15:00 - 17:00 브레이크타임 /목
10:00 - 22:00
15:00 - 17:00 브레이크타임 /금
10:00 - 22:00
15:00 - 17:00 브레이크타임 /토
10:00 - 22:00 /일
10:00 - 22:00 /월
10:00 - 22:00
15:00 - 17:00 브레이크타임 /",02-402-3800,"{'x': 37.4816961, 'y': 127.14281552490804}"
육미제당 위례점,"육류,고기요리",없음,0.0,659,81,1732868403,서울 송파구 위례광장로 230 위례2차아이파크 1층 111호,"화
11:00 - 23:00
21:30 라스트오더 /수
11:00 - 23:00
21:30 라스트오더 /목
11:00 - 23:00
21:30 라스트오더 /금
11:00 - 23:00
21:30 라스트오더 /토
11:00 - 23:00
21:30 라스트오더 /일
11:00 - 23:00
21:30 라스트오더 /월
11:00 - 23:00
21:30 라스트오더 /",02-6476-7000,"{'x': 37.4783867, 'y': 127.1434008}"
커피빈 위례2차아이파크점,카페,없음,4.57,968,87,590113072,서울 송파구 위례광장로 230 위례2차 아이파크 B동 1층,"화
08:00 - 21:00 /수
08:00 - 21:00 /목
08:00 - 21:00 /금
08:00 - 22:00 /토
08:00 - 22:00 /일
08:00 - 22:00 /월
08:00 - 21:00 /",02-449-9703,"{'x': 37.4783867, 'y': 127.1434008}"
플랫도어,"카페,디저트",없음,0.0,337,41,1418867868,서울 송파구 위례광장로 230 상가 1동 A118호 플랫도어,"화
07:30 - 18:00
17:50 라스트오더 /수
정기휴무 (매주 수요일) /목
07:30 - 18:00
17:50 라스트오더 /금
07:30 - 18:00
17:50 라스트오더 /토
10:00 - 18:30
18:20 라스트오더 /일
10:00 - 18:30
18:20 라스트오더 /월
07:30 - 18:00
17:50 라스트오더 /",0507-1364-0462,"{'x': 37.4783867, 'y': 127.1434008}"
